crop,country,year,gini_upov_genus,gini_upov_species
Ornithopus,World,2019,0.808535155,0.89601208
Papayas,World,2019,0.805305887,0.878031736
Parsley,World,2019,0.806382556,0.811845464
Parsnip,World,2019,0.728199604,0.72588631
Passionfruit,World,2019,0.804394757,0.968043504
Pawpaw,World,2019,0.731052632,0.732991014
Peaches and nectarines,World,2019,0.772561644,0.79951174
Pearl millet,World,2019,0.895403225,0.968261798
Pears,World,2019,0.767076822,0.788808087
Peas,World,2019,0.815206857,0.828803415
Pecan,World,2019,0.772228833,0.747708806
Pepino,World,2019,0.839266722,0.965599082
Pepper,World,2019,1,1
Peppermint,World,2019,0.876636339,0.982143302
Perilla,World,2019,0.935865031,0.977241696
Persimmons,World,2019,0.855431346,0.863833587
Phalaris,World,2019,0.776980785,0.791841951
Phleum,World,2019,0.765068882,0.764862384
Physic nut,World,2019,0.907920316,0.931165986
Pigeonpeas,World,2019,0.990463214,0.990981747
Pili nut,World,2019,1,1
Pine nut,World,2019,0.8515986,1
Pineapples,World,2019,0.675849424,0.716111897
Pistachios,World,2019,0.884591658,0.866377289
Plantains,World,2019,0.901873186,1
Plums,World,2019,0.772561644,0.77237838
Poa,World,2019,0.800473744,0.813948382
Pomegranate,World,2019,0.821476887,0.827246523
Pongamia oil,World,2019,0.997422828,1
Poppies,World,2019,0.828055575,0.880210377
Potatoes,World,2019,0.839266722,0.841165424
Prickly pear,World,2019,0.940317857,0.964026143
Proso millet,World,2019,0.863284708,0.902659139
Prosopis,World,2019,0.996510453,0.974403201
Pueraria,World,2019,0.981782479,1
Pumpkin,World,2019,0.877300715,0.886905024
Purging croton,World,2019,1,1
Pyrethrum,World,2019,0.788723802,1
Quinces,World,2019,0.679044377,0.739661528
Quinoa,World,2019,0.809047105,0.853856551
Radish,World,2019,0.81962203,0.824079719
Rambutan,World,2019,1,1
Ramie,World,2019,0.935032332,0.968513258
Rapeseed and mustards,World,2019,0.81828893,0.833515758
Raspberries,World,2019,0.743010728,0.771338966
Rhubarb,World,2019,0.78602398,0.859047843
Rhynchosia,World,2019,1,1
Rice bean,World,2019,0.933654085,1
Roselle,World,2019,0.885150858,0.993468524
Rosemary,World,2019,0.836671603,0.885963985
"Rubber, natural",World,2019,1,1
Runner bean,World,2019,0.840361476,0.93449124
Rye,World,2019,0.722490048,0.746929955
Safflower,World,2019,0.808565819,0.808488648
Saffron,World,2019,0.901227564,0.928700694
Sago palm,World,2019,1,1
Salsify,World,2019,0.931883039,0.932668739
Salsola,World,2019,0.990551925,1
Sapodilla,World,2019,1,1
Savory,World,2019,0.808909231,0.865421797
Service tree,World,2019,0.809239778,0.956510954
Sesame,World,2019,0.91369703,0.915678064
Sesbania,World,2019,1,1
Shala tree,World,2019,1,1
Sisal,World,2019,0.730638959,1
Slippery cabbage,World,2019,0.952416648,0.998664202
Snake gourd,World,2019,1,1
Snake plant,World,2019,0.89317444,0.953029155
Sorghum,World,2019,0.885937724,0.911959242
Sorrel,World,2019,0.857891717,0.924706991
Soursop,World,2019,0.744123201,0.967824847
Soybeans,World,2019,0.824078489,0.827395724
Spider plant,World,2019,1,0.965577262
Spinach,World,2019,0.808795417,0.816015879
Strawberries,World,2019,0.650990726,0.800912013
Strawberry tree,World,2019,0.925105552,0.956598127
Stylosanthes,World,2019,0.998300079,0.995512253
Sugar apple,World,2019,0.744123201,0.973019656
Sugar beets,World,2019,0.759874543,0.777088791
Sugarcane,World,2019,0.892711925,0.953838228
Sunflowers,World,2019,0.807348266,0.831202057
Sunn hemp,World,2019,0.97965222,0.991764213
Sweetpotatoes,World,2019,0.916262348,0.94359609
Sword bean,World,2019,1,1
Tallowtree,World,2019,0.81452399,0.89922064
Tamarind,World,2019,1,1
Taro,World,2019,0.939819559,0.952229604
Tarragon,World,2019,0.838932806,0.951930835
Tea,World,2019,0.832421005,0.842289515
Teff,World,2019,0.929490308,0.982468244
Tepary bean,World,2019,0.840361476,1
Thyme,World,2019,0.770990985,0.861049956
Tobacco,World,2019,0.821103231,0.852052492
Tomatillo,World,2019,0.922173415,0.956752401
Tomatoes,World,2019,0.839266722,0.890827756
Tree tomato,World,2019,0.839266722,0.992777752
Tripsacum,World,2019,0.993646087,1
Triticale,World,2019,0.897000801,1
Tung nuts,World,2019,0.909262701,1
Turmeric,World,2019,0.79859898,1
Turnips,World,2019,0.81828893,0.828228993
Ulluco,World,2019,1,1
Vanilla,World,2019,0.818563498,0.818555161
Velvet bean,World,2019,0.98080292,0.980802184
Velvet leaf,World,2019,0.952896477,1
Vetch,World,2019,0.759269566,0.835994611
Walnuts,World,2019,0.76215198,0.783979072
Water dropwort,World,2019,0.947463868,0.947461783
Watercress,World,2019,0.810860652,0.846595653
Watermelons,World,2019,0.886706565,0.897380954
Wax gourd,World,2019,0.958346478,0.958747321
West Indian Gherkin,World,2019,0.842396855,0.986775279
Wheat,World,2019,0.826587686,0.834056818
Wildrice,World,2019,0.800429369,1
Winged bean,World,2019,0.995887116,0.99620531
Yacon,World,2019,0.822367002,0.826917426
Yams,World,2019,0.980816855,1
"Yautia, cocoyam",World,2019,0.933456048,0.966724618
Year bean,World,2019,0.840361476,1
Zornia,World,2019,1,1
Zucchini,World,2019,0.877300715,0.877487301
