crop,country,year,clp_export_quantity,clp_export_value,clp_import_quantity,clp_import_value
Jute,World,2012,950506,473336,1017271,564143
Jute,World,2013,680894,374054,709043,460874
Kaniwa,World,2010,NA,NA,NA,NA
Kaniwa,World,2011,NA,NA,NA,NA
Kaniwa,World,2012,NA,NA,NA,NA
Kaniwa,World,2013,NA,NA,NA,NA
Kapok,World,2010,NA,NA,NA,NA
Kapok,World,2011,NA,NA,NA,NA
Kapok,World,2012,NA,NA,NA,NA
Kapok,World,2013,NA,NA,NA,NA
Karite nuts,World,2010,NA,NA,NA,NA
Karite nuts,World,2011,NA,NA,NA,NA
Karite nuts,World,2012,NA,NA,NA,NA
Karite nuts,World,2013,NA,NA,NA,NA
Kenaf,World,2010,NA,NA,NA,NA
Kenaf,World,2011,NA,NA,NA,NA
Kenaf,World,2012,NA,NA,NA,NA
Kenaf,World,2013,NA,NA,NA,NA
Kiwi fruit,World,2010,1351507,1854065,1259615,1803432
Kiwi fruit,World,2011,1322911,2047115,1290691,2125885
Kiwi fruit,World,2012,1365154,2082743,1371504,2140648
Kiwi fruit,World,2013,1276833,2053309,1293847,2158802
Kiwicha,World,2010,NA,NA,NA,NA
Kiwicha,World,2011,NA,NA,NA,NA
Kiwicha,World,2012,NA,NA,NA,NA
Kiwicha,World,2013,NA,NA,NA,NA
Kodo millet,World,2010,382999,125300,404750,151767
Kodo millet,World,2011,384395,145625,335675,151255
Kodo millet,World,2012,368144,129610,343168,146524
Kodo millet,World,2013,280492,117230,348129,170993
Kola nuts,World,2010,9373,1202,12341,8936
Kola nuts,World,2011,12427,1622,13484,9014
Kola nuts,World,2012,10842,3064,6564,8090
Kola nuts,World,2013,7449,2150,6862,7583
Kumquat,World,2010,1245167,964880,1176664,1051608
Kumquat,World,2011,1215392,973326,1172308,1105820
Kumquat,World,2012,1175953,922962,1186400,1118192
Kumquat,World,2013,1238782,966861,1286199,1180268
Lablab,World,2010,NA,NA,NA,NA
Lablab,World,2011,NA,NA,NA,NA
Lablab,World,2012,NA,NA,NA,NA
Lablab,World,2013,NA,NA,NA,NA
Leeks and other alliaceous vegetables,World,2010,276214,325008,294443,370158
Leeks and other alliaceous vegetables,World,2011,293169,305470,317187,381822
