crop,country,year,genus_accessions_primaryregion,species_accessions_primaryregion
Chayote,World,2019,0,0
Cherimoya,World,2019,0.095384878,0.080504837
Cherries,World,2019,0.00817224,0.000835154
Chervil,World,2019,0.00128558,0.000482093
Chestnuts,World,2019,0.000960057,0.000882633
Chickpeas,World,2019,0.006628977,0.006366202
Chicle,World,2019,0,0
Chicory,World,2019,0.003537656,0.003033551
Chillies and peppers,World,2019,0.036769867,0.029207454
Chinotto,World,2019,0.043049159,0.00030078
Chontadura,World,2019,0,0
Chufa,World,2019,0.061302682,0.002452107
Cinnamon,World,2019,4.24154E-05,3.53461E-06
Citron,World,2019,0.00372991,1.49196E-05
Citronella,World,2019,0,0
Clovers,World,2019,0,0
Cloves,World,2019,1.45353E-05,0
Cocoa,World,2019,0.004215051,0.003928564
Coconuts,World,2019,2.66124E-05,2.66124E-05
Coffee,World,2019,0.002867486,0.002841
Common bean,World,2019,0.01530672,0.012395581
Coriander,World,2019,0.002953311,0.002534445
Coronilla,World,2019,0,0
Cotton,World,2019,0.00233202,0.00147834
Cowpeas,World,2019,0.002767391,0.00213029
Crambe,World,2019,0,0
Cranberries,World,2019,0.063328099,0.004048159
Cress,World,2019,0.006451209,0.004646126
Cucumbers and gherkins,World,2019,0.002917507,0.001286289
Cumin,World,2019,0.000369982,0.00035842
Currants,World,2019,0.021551453,0.01133531
Cushaw,World,2019,0.108661879,0.015008061
Custard apple,World,2019,0.050377244,0.004815472
Dactylis,World,2019,0,0
Dates,World,2019,0.000221834,0.00019286
Desmodium,World,2019,0,0
Devil's cotton,World,2019,4.19802E-05,0
Dill,World,2019,0.09521114,0.094986585
Durian,World,2019,0.019833976,0.007894735
Eggplant,World,2019,0.006549382,0.003891266
Elderberry,World,2019,0.041713738,0.019992975
Esparto,World,2019,0,0
Ethiopian rape,World,2019,0.03655536,0.016348203
Faba beans,World,2019,0.296812215,0.079700994
Feijoa,World,2019,0.003179496,0.003179496
Fennel,World,2019,0.002546273,0.002292243
Fenugreek,World,2019,0.112135614,0.037758164
Festuca,World,2019,0,0
Fig leaf gourd,World,2019,0.112912607,0.005356018
Figs,World,2019,0.002844345,0.002683939
Finger millet,World,2019,0.003153916,0.002917513
Fique,World,2019,0,0
Flax,World,2019,0.010603698,0.009934364
Fonio,World,2019,0.001451151,0.001381533
Foxtail millet,World,2019,0.000625445,0.000619195
Galactia,World,2019,0,0
Garlic,World,2019,0.040954075,0.00704096
Giant cabuya,World,2019,0,0
Ginger,World,2019,5.34362E-05,1.18747E-05
Gooseberries,World,2019,0.087085911,0.013903866
Grapefruits,World,2019,0.004958311,0.000153816
Grapes,World,2019,0.001538954,0.00058201
Grasspea,World,2019,0.081037918,0.015845638
Groundnuts,World,2019,0.045413634,0.036013718
Guavas,World,2019,0.000700118,0.000607795
Guayule,World,2019,0,0
Gutta-percha,World,2019,0,0
Hazelnuts,World,2019,0.001473948,0.00121202
Hedysarum,World,2019,0,0
Hemp,World,2019,0.014524843,0.012044992
Hops,World,2019,0.025486266,0.025393589
Horseradish,World,2019,0.000155831,0.000155831
Huckleberry,World,2019,0.03323844,0.00461645
Indigofera,World,2019,0,0
Jack bean,World,2019,0.062987752,0.015552531
Jackfruit,World,2019,0.000203166,6.7722E-05
Japanese millet,World,2019,0.000279988,0.000180061
Jerusalem artichoke,World,2019,0,0
Jicama,World,2019,0.131418891,0.099536201
Jojoba,World,2019,1.507717303,1.507717303
Jujube,World,2019,0.000468539,0.000468539
Jute,World,2019,0.003995174,0.003556418
Kaniwa,World,2019,2.65561756,0.142744234
Kapok,World,2019,0,0
Karite nuts,World,2019,1.9189E-06,1.9189E-06
Kenaf,World,2019,0.024146029,0.009863365
Kiwi fruit,World,2019,0.000349221,0.000222997
Kiwicha,World,2019,0.912509281,0.444518957
Kodo millet,World,2019,0.000125651,0.000124373
Kola nuts,World,2019,1.87265E-06,0
Kumquat,World,2019,1.30535E-05,4.35116E-06
Lablab,World,2019,0.002750051,0.002709249
Lavender,World,2019,0,0
Leeks and other alliaceous vegetables,World,2019,0.246056117,0.008274536
Lemons and limes,World,2019,0.001694807,6.18543E-05
Lentils,World,2019,0.01150628,0.01092649
Lespedeza,World,2019,0,0
Lettuce,World,2019,0.043293011,0.031066828
Leucaena,World,2019,0,0
Licorice,World,2019,0,0
Lima bean,World,2019,0.01530672,0.001149397
Litchi,World,2019,0.000292837,0.000292837
Little millet,World,2019,0.00044828,0.00018698
Lolium,World,2019,0,0
Longan,World,2019,6.7722E-05,6.7722E-05
Loquat,World,2019,0.000468539,0.000460173
Lotus,World,2019,0,0
Lupins,World,2019,0.116325292,0.09649341
Maca,World,2019,0.068594439,0.026937897
Macadamia nut,World,2019,0.002220095,0.002220095
Macroptilium,World,2019,0,0
Mahuwa,World,2019,0.000244703,4.44915E-05
Maize,World,2019,0.00332378,0.003293552
Malabar spinach,World,2019,0,0
Mamey sapote,World,2019,0.058156084,0.037782933
Mammee,World,2019,0.00038154,0.00038154
Mandarines,World,2019,0.000149953,6.7032E-06
Mango,World,2019,0.00017531,8.49988E-05
Mangosteen,World,2019,0.000172194,0.000143693
Maple sugar,World,2019,0,0
Marjoram,World,2019,0.01241082,0.000217734
Mashua,World,2019,0.102336238,0.098031728
Mat bean,World,2019,0.002137973,0.000161817
Mate,World,2019,0.000589131,0
Mauka,World,2019,0.005554206,0.00485993
Medlar,World,2019,0.001976269,0.001976269
Melilotus,World,2019,0,0
Melons,World,2019,0.004209234,0.001826664
Mombin,World,2019,0.01599998,0.004923071
Mulberry,World,2019,0.002915585,0.002004464
Mung bean,World,2019,0.001924582,0.000781302
Myrtle,World,2019,0.0019309,0.0019309
Naranjilla,World,2019,6.786967987,0.055523689
Neonotonia,World,2019,0,0
New Zealand flax,World,2019,0.026375202,0.009173983
New Zealand spinach,World,2019,0,0
Noog,World,2019,0.036257066,0.033725148
Nutmeg,World,2019,8.21962E-06,0
Oats,World,2019,0.004214198,0.003868447
Oca,World,2019,0.431978339,0.407817544
Oil palm,World,2019,9.4982E-07,9.4982E-07
Oiticica,World,2019,0,0
Okra,World,2019,0.012641489,0.009614487
Olives,World,2019,0.000171254,0.000168682
Onions,World,2019,0.005652035,0.001185467
Onobrychis,World,2019,0,0
Orache,World,2019,0.00048863,3.78423E-05
Oranges,World,2019,0.000149953,3.30195E-05
Oregano,World,2019,0,0
Ornithopus,World,2019,0,0
Papayas,World,2019,0.001068227,0.001007532
Parsley,World,2019,0.029345383,0.02770566
Parsnip,World,2019,0.00133472,0.000977541
Passionfruit,World,2019,0.162223843,0.031893522
Pawpaw,World,2019,29.26775953,23.86885244
Peaches and nectarines,World,2019,0.000484393,0.000187934
Pearl millet,World,2019,0.001312927,0.00204723
Pears,World,2019,0.00070284,0.000368358
Peas,World,2019,0.016927314,0.015743381
Pecan,World,2019,0.019146068,0.011241728
Pepino,World,2019,0,0
Pepper,World,2019,3.26862E-05,1.40084E-05
Peppermint,World,2019,0.534600998,0.042082294
Perilla,World,2019,0.004476861,0.004442687
Persimmons,World,2019,0.000268984,0.000264864
Phalaris,World,2019,0,0
Phleum,World,2019,0,0
Physic nut,World,2019,0,0
Pigeonpeas,World,2019,0.005485858,0.005380927
Pili nut,World,2019,5.89343E-05,0
Pine nut,World,2019,0.045899859,0.009377391
Pineapples,World,2019,0.006663841,0.005780586
Pistachios,World,2019,0.001050726,0.000648535
Plantains,World,2019,0.002934546,0.000187501
Plums,World,2019,0.000848718,0.000151437
Poa,World,2019,0,0
Pomegranate,World,2019,0.00070362,0.00062544
Pongamia oil,World,2019,0.012430743,0.000102451
Poppies,World,2019,0.008025587,0.005691412
Potatoes,World,2019,0.043188292,0.01306555
Prickly pear,World,2019,0.011733408,0.009761407
Proso millet,World,2019,0.001878066,0.001633288
Prosopis,World,2019,0,0
Pueraria,World,2019,0,0
Pumpkin,World,2019,0.190454129,0.048376044
Purging croton,World,2019,0.000130855,0.000130855
Pyrethrum,World,2019,0,0
Quinces,World,2019,0.008512397,0.008264463
Quinoa,World,2019,0.042145208,0.032781962
Radish,World,2019,0.044583496,0.035932545
Rambutan,World,2019,0.007682796,0.004998233
Ramie,World,2019,0,0
Rapeseed and mustards,World,2019,0,0
Raspberries,World,2019,0.023772473,0.009965897
Rhubarb,World,2019,2.01683E-05,5.50044E-06
Rhynchosia,World,2019,0,0
Rice bean,World,2019,0.001933743,0.000162261
Roselle,World,2019,0.137671417,0.086851304
Rosemary,World,2019,0,0
"Rubber, natural",World,2019,4.1004E-05,3.417E-05
Runner bean,World,2019,0.008772285,0.000522128
Rye,World,2019,0.018849772,0.016315654
Safflower,World,2019,0.003894275,0.003416729
Saffron,World,2019,0.003026077,6.05215E-05
Sago palm,World,2019,0,0
Salsify,World,2019,0.002320537,0.000740597
Salsola,World,2019,0,0
Sapodilla,World,2019,0.050006823,0.049636403
Savory,World,2019,0.009131559,0.006898144
Service tree,World,2019,0.058770316,0.001975473
Sesame,World,2019,0.002295542,0.00207648
Sesbania,World,2019,0,0
Shala tree,World,2019,2.22458E-05,2.22458E-05
Sisal,World,2019,0.008167383,9.60869E-05
Slippery cabbage,World,2019,0,0
Snake gourd,World,2019,0,0
Snake plant,World,2019,0,0
Sorghum,World,2019,0.002992264,0.002888453
Sorrel,World,2019,0.014098388,0.003992146
Soursop,World,2019,0.050377244,0.012964732
Soybeans,World,2019,0.001888891,0.00169328
Spider plant,World,2019,0,0
Spinach,World,2019,0.021560028,0.018690823
Strawberries,World,2019,0.068585741,0.012042819
Strawberry tree,World,2019,0.003831834,0.001459746
Stylosanthes,World,2019,0,0
Sugar apple,World,2019,0.050377244,0.010371786
Sugar beets,World,2019,0.002297017,0.001665645
Sugarcane,World,2019,0.000329562,3.31933E-05
Sunflowers,World,2019,0.00782538,0.004536535
Sunn hemp,World,2019,0.004141759,0.001889411
Sweetpotatoes,World,2019,0.150485163,0.12113562
Sword bean,World,2019,0.0005905,6.56111E-05
Tallowtree,World,2019,7.47808E-06,8.72442E-06
Tamarind,World,2019,0.00037039,0.00037039
Taro,World,2019,0.008663549,0.008637867
Tarragon,World,2019,0.000560699,3.3935E-05
Tea,World,2019,0.000102569,9.56593E-05
Teff,World,2019,0.002188827,0.001811455
Tepary bean,World,2019,0.008772285,0.000326832
Thyme,World,2019,0.039277003,0.009256364
Tobacco,World,2019,0.005969113,0.005481072
Tomatillo,World,2019,0,0
Tomatoes,World,2019,0.237868321,0.033751142
Tree tomato,World,2019,0,0
Tripsacum,World,2019,0,0
Triticale,World,2019,0.001068063,0
Tung nuts,World,2019,3.22061E-06,0
Turmeric,World,2019,0.00071416,3.00699E-05
Turnips,World,2019,0.038235517,0.00669379
Ulluco,World,2019,0.230638387,0.230638387
Vanilla,World,2019,0.003690888,0.001845444
Velvet bean,World,2019,0.000889107,0.000661509
Velvet leaf,World,2019,0.002465753,0.001917808
Vetch,World,2019,0.106732765,0.037326937
Walnuts,World,2019,0.001568957,0.001486244
Water dropwort,World,2019,0,0
Watercress,World,2019,0.001538837,0.001457129
Watermelons,World,2019,0.005397372,0.004700937
Wax gourd,World,2019,0,0
West Indian Gherkin,World,2019,0,0
Wheat,World,2019,0.002485312,0.001603803
Wildrice,World,2019,0,0
Winged bean,World,2019,0.013298368,0.013255949
Yacon,World,2019,0,0
Yams,World,2019,0.001346667,0.001000001
"Yautia, cocoyam",World,2019,0.003572332,0.002582408
Year bean,World,2019,0.008772285,0.000195742
Zornia,World,2019,0,0
Zucchini,World,2019,0.108661879,0.013923494
