crop,country,year,crop_count_gini_recipients_distributions
Prickly pear,World,2019,0.00487303
Proso millet,World,2019,0.019236392
Prosopis,World,2019,0.003952569
Pueraria,World,2019,0.021679243
Pumpkin,World,2019,0.010753455
Pyrethrum,World,2019,0.008835155
Quinces,World,2019,0.004262355
Quinoa,World,2019,0.029574238
Radish,World,2019,0.012491527
Rambutan,World,2019,0.004116124
Rapeseed and Mustards,World,2019,0.017190781
Raspberries,World,2019,0.005577686
Rhubarb,World,2019,0.003952569
Rhynchosia,World,2019,0.007716921
Rice (African),World,2019,0.009856996
Rice (Asian),World,2019,0.033509218
Rice bean,World,2019,0.014500481
Roselle,World,2019,0.010655544
"Rubber, natural",World,2019,0.008264463
Runner bean,World,2019,0.010513791
Rye,World,2019,0.01809017
Safflower,World,2019,0.026529879
Salsify,World,2019,0.007697108
Sapodilla,World,2019,0.003952569
Savory,World,2019,0.009027473
Service tree,World,2019,0.006448929
Sesame,World,2019,0.016389114
Sesbania,World,2019,0.010317745
Slippery cabbage,World,2019,0.013194529
Snake gourd,World,2019,0.003952569
Sorghum,World,2019,0.017239602
Sorrel,World,2019,0.003952569
Soursop,World,2019,0.003952569
Soybeans,World,2019,0.009628768
Spider plant,World,2019,0.01396955
Spinach,World,2019,0.010840201
Strawberries,World,2019,0.005278097
Strawberry tree,World,2019,0.003952569
Stylosanthes,World,2019,0.005742412
Sugar apple,World,2019,0.004145377
Sugar beets,World,2019,0.012836198
Sugarcane,World,2019,0.006872136
Sunflowers,World,2019,0.023597717
Sunn hemp,World,2019,0.01037149
Sweetpotatoes,World,2019,0.023297809
Sword bean,World,2019,0.006052372
Tamarind,World,2019,0.004655248
Tarragon,World,2019,0.004989309
Tea,World,2019,0.003952569
Teff,World,2019,0.010730298
Tepary bean,World,2019,0.010547602
Thyme,World,2019,0.005177309
Tobacco,World,2019,0.007515448
Tomatillo,World,2019,0.007702178
Tomatoes,World,2019,0.016168858
Tripsacum,World,2019,0.004671218
Triticale,World,2019,0.047985787
Turmeric,World,2019,0.004983674
Turnips,World,2019,0.011285415
Vanilla,World,2019,0.003952569
Velvet bean,World,2019,0.013203263
Velvet leaf,World,2019,0.004743083
Vetch,World,2019,0.020821907
Walnuts,World,2019,0.005838337
Watercress,World,2019,0.003952569
Watermelons,World,2019,0.012693691
Wax gourd,World,2019,0.014372979
West Indian Gherkin,World,2019,0.021220356
Wheat,World,2019,0.041237624
Winged bean,World,2019,0.012821749
Yams,World,2019,0.013395457
Year bean,World,2019,0.014145101
Zornia,World,2019,0.005928854
Zucchini,World,2019,0.015766377
