crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_food_supply_quantity_kg,fs_food_supply_quantity_t,fs_protein_supply_quantity
Artichokes,World,2011,0.018052014,2.13615499,8.62224362,3.147067774,21551380.35,0.114931156
Artichokes,World,2012,0.018352881,2.19632837,8.908368042,3.251468588,22497337.44,0.118240692
Artichokes,World,2013,0.018653748,2.22641506,8.977868296,3.277042275,22930010.37,0.119143292
Asparagus,World,2010,0.023166752,2.787863351,11.13849573,4.065568611,27527530.37,0.148816931
Asparagus,World,2011,0.023559409,2.787863351,11.25275886,4.107190233,28126378.34,0.149994901
Asparagus,World,2012,0.023952065,2.866394713,11.62617549,4.243442146,29360932.53,0.154314126
Asparagus,World,2013,0.024344722,2.905660394,11.71687921,4.276817975,29925607.39,0.155492097
Atemoya,World,2010,0.000805256,0.068324788,0.160953679,0.058759318,397784.7917,0.000829658
Atemoya,World,2011,0.000829658,0.070764959,0.166126842,0.060638249,415228.3943,0.00085406
Atemoya,World,2012,0.00085406,0.07320513,0.171690432,0.062663591,433590.1371,0.000878462
Atemoya,World,2013,0.000878462,0.075645301,0.177205218,0.064688933,452599.9188,0.000902863
Avocado,World,2010,0.014738409,1.250531688,2.945895362,1.075457252,7280556.612,0.015185028
Avocado,World,2011,0.015185028,1.295193534,3.040578476,1.109846873,7599822.554,0.015631646
Avocado,World,2012,0.015631646,1.33985538,3.142407485,1.146916205,7935892.988,0.016078265
Avocado,World,2013,0.016078265,1.384517226,3.243343257,1.183985537,8283824.319,0.016524883
Azarole,World,2010,0.002321435,0.1969702,0.464005514,0.169394372,1146754.381,0.002391781
Azarole,World,2011,0.002391781,0.20400485,0.478918972,0.174811053,1197041.693,0.002462128
Azarole,World,2012,0.002462128,0.2110395,0.494957974,0.180649812,1249975.865,0.002532474
Azarole,World,2013,0.002532474,0.21807415,0.510856283,0.186488572,1304778.238,0.002602821
Babaco,World,2010,0.002321435,0.1969702,0.464005514,0.169394372,1146754.381,0.002391781
Babaco,World,2011,0.002391781,0.20400485,0.478918972,0.174811053,1197041.693,0.002462128
Babaco,World,2012,0.002462128,0.2110395,0.494957974,0.180649812,1249975.865,0.002532474
Babaco,World,2013,0.002532474,0.21807415,0.510856283,0.186488572,1304778.238,0.002602821
Badian,World,2010,0.033426184,1.253481894,0.376044568,0.137883008,927842.7575,0.039693593
Badian,World,2011,0.039693593,1.462395543,0.436629526,0.158774373,1090114.554,0.048050139
Badian,World,2012,0.039693593,1.462395543,0.426183844,0.1545961,1074968.941,0.045961003
Badian,World,2013,0.037604457,1.462395543,0.417827298,0.152506964,1069667.549,0.045961003
Bambara bean,World,2010,0.005486212,0.650217696,0.189172711,0.06908563,467729.9835,0.04023222
Bambara bean,World,2011,0.005892598,0.690856302,0.197910011,0.072336719,494796.4763,0.042060957
Bambara bean,World,2012,0.005892598,0.690856302,0.201770679,0.07375907,509706.1587,0.042873729
Bambara bean,World,2013,0.006298984,0.751814211,0.21660377,0.079042089,553029.9148,0.045718432
Bamboo shoot,World,2010,0.004111847,0.494815543,1.976962325,0.721594385,4885838.426,0.026413393
Bamboo shoot,World,2011,0.00418154,0.494815543,1.997242793,0.728981772,4992127.454,0.02662247
Bamboo shoot,World,2012,0.004251232,0.508754009,2.063520199,0.75316501,5211247.448,0.027389086
Bamboo shoot,World,2013,0.004320924,0.515723242,2.079619127,0.759088858,5311471.117,0.027598163
Bananas,World,2010,0.07,21,33.93,12.38,83857776.38,0.28
Bananas,World,2011,0.07,21,34.06,12.43,85139218.68,0.28
Bananas,World,2012,0.07,21,33.53,12.24,84673423.84,0.27
Bananas,World,2013,0.07,21,33.65,12.28,85948248.21,0.27
Barley,World,2010,0.03,7,2.6,0.95,6415513.08,0.19
Barley,World,2011,0.03,7,2.71,0.99,6764348.87,0.2
Barley,World,2012,0.03,7,2.72,0.99,6879982.91,0.2
Barley,World,2013,0.03,7,2.66,0.97,6794174.18,0.19
Bay leaf,World,2010,0.008170845,0.306406686,0.091922006,0.033704735,226806.008,0.009702878
Bay leaf,World,2011,0.009702878,0.357474467,0.106731662,0.038811514,266472.4473,0.01174559
Bay leaf,World,2012,0.009702878,0.357474467,0.104178273,0.037790158,262770.1864,0.011234912
Bay leaf,World,2013,0.009192201,0.357474467,0.102135562,0.03727948,261474.2903,0.011234912
Beech nut,World,2010,0.001387435,0.015415939,0.005241419,0.001849913,12902.00001,0.001079116
Beech nut,World,2011,0.001387435,0.015415939,0.005858057,0.002158231,14798.36955,0.001233275
Beech nut,World,2012,0.001387435,0.015415939,0.005858057,0.002158231,14673.19813,0.001233275
Beech nut,World,2013,0.001387435,0.015415939,0.006012216,0.002158231,15272.98993,0.001233275
Beets,World,2010,0.004111847,0.494815543,1.976962325,0.721594385,4885838.426,0.026413393
Beets,World,2011,0.00418154,0.494815543,1.997242793,0.728981772,4992127.454,0.02662247
Beets,World,2012,0.004251232,0.508754009,2.063520199,0.75316501,5211247.448,0.027389086
Beets,World,2013,0.004320924,0.515723242,2.079619127,0.759088858,5311471.117,0.027598163
Black gram,World,2010,0.11,24,7.22,2.64,17848377.17,1.56
Black gram,World,2011,0.1,24,7.05,2.57,17626823.54,1.52
Black gram,World,2012,0.1,23,6.78,2.47,17122804.78,1.46
Black gram,World,2013,0.1,23,6.82,2.49,17416335.39,1.47
Black salsify,World,2010,0.004111847,0.494815543,1.976962325,0.721594385,4885838.426,0.026413393
Black salsify,World,2011,0.00418154,0.494815543,1.997242793,0.728981772,4992127.454,0.02662247
Black salsify,World,2012,0.004251232,0.508754009,2.063520199,0.75316501,5211247.448,0.027389086
Black salsify,World,2013,0.004320924,0.515723242,2.079619127,0.759088858,5311471.117,0.027598163
Blueberry,World,2010,0.007439387,0.631220744,1.486975724,0.54284984,3674947.548,0.007664823
Blueberry,World,2011,0.007664823,0.653764342,1.534768152,0.56020841,3836100.83,0.007890259
Blueberry,World,2012,0.007890259,0.67630794,1.586167555,0.578919597,4005736.379,0.008115695
Blueberry,World,2013,0.008115695,0.698851538,1.637116087,0.597630783,4181358.857,0.008341131
Brazil nut,World,2010,0.034298245,0.447368415,0.179543857,0.065614034,443778.7824,0.011929824
Brazil nut,World,2011,0.036982456,0.477192976,0.189087717,0.068894736,472479.9265,0.012526316
Brazil nut,World,2012,0.03668421,0.477192976,0.190578945,0.069491227,481627.3764,0.012526316
Brazil nut,World,2013,0.036982456,0.477192976,0.191473682,0.069789473,489374.8024,0.012824561
Breadfruit,World,2010,0.000805256,0.068324788,0.160953679,0.058759318,397784.7917,0.000829658
Breadfruit,World,2011,0.000829658,0.070764959,0.166126842,0.060638249,415228.3943,0.00085406
Breadfruit,World,2012,0.00085406,0.07320513,0.171690432,0.062663591,433590.1371,0.000878462
Breadfruit,World,2013,0.000878462,0.075645301,0.177205218,0.064688933,452599.9188,0.000902863
Buckwheat,World,2010,0.004315069,1.29452055,0.457397261,0.166130137,1129382.236,0.038835617
Buckwheat,World,2011,0.004315069,1.510273975,0.468184932,0.170445206,1170607.582,0.038835617
Buckwheat,World,2012,0.004315069,1.29452055,0.444452056,0.161815069,1121219.809,0.036678082
Buckwheat,World,2013,0.004315069,1.29452055,0.450924658,0.163972603,1149035.256,0.038835617
Butter-nut,World,2010,0.044385965,0.578947365,0.232350876,0.08491228,574301.9581,0.015438596
Butter-nut,World,2011,0.047859649,0.617543856,0.244701753,0.089157894,611444.6154,0.016210526
Butter-nut,World,2012,0.047473684,0.617543856,0.246631577,0.089929824,623282.4919,0.016210526
Butter-nut,World,2013,0.047859649,0.617543856,0.247789472,0.090315789,633308.5727,0.016596491
Butternut squash,World,2010,0.046935237,5.648138679,22.5663028,8.236736321,55770060.95,0.301499234
Butternut squash,World,2011,0.047730749,5.648138679,22.79779694,8.321060645,56983311.38,0.303885771
Butternut squash,World,2012,0.048526262,5.807241177,23.55432932,8.597103479,59484486.07,0.312636409
Butternut squash,World,2013,0.049321774,5.886792426,23.7380927,8.664722041,60628502.65,0.315022946
Cabbages,World,2010,0.098684345,11.87557367,47.44709836,17.31826617,117260128.5,0.633921468
Cabbages,World,2011,0.100356961,11.87557367,47.93382961,17.49556346,119811065.3,0.638939316
Cabbages,World,2012,0.102029577,12.21009687,49.52448744,18.07596122,125069945.5,0.657338092
Cabbages,World,2013,0.103702193,12.37735847,49.91086174,18.21813358,127475313.7,0.66235594
Cabbages and other brassicas,World,2010,0.098684345,11.87557367,47.44709836,17.31826617,117260128.5,0.633921468
Cabbages and other brassicas,World,2011,0.100356961,11.87557367,47.93382961,17.49556346,119811065.3,0.638939316
Cabbages and other brassicas,World,2012,0.102029577,12.21009687,49.52448744,18.07596122,125069945.5,0.657338092
Cabbages and other brassicas,World,2013,0.103702193,12.37735847,49.91086174,18.21813358,127475313.7,0.66235594
Caesarweed,World,2010,NA,NA,NA,NA,NA,NA
Caesarweed,World,2011,NA,NA,NA,NA,NA,NA
Caesarweed,World,2012,NA,NA,NA,NA,NA,NA
Caesarweed,World,2013,NA,NA,NA,NA,NA,NA
Cainito,World,2010,0.000805256,0.068324788,0.160953679,0.058759318,397784.7917,0.000829658
Cainito,World,2011,0.000829658,0.070764959,0.166126842,0.060638249,415228.3943,0.00085406
Cainito,World,2012,0.00085406,0.07320513,0.171690432,0.062663591,433590.1371,0.000878462
Cainito,World,2013,0.000878462,0.075645301,0.177205218,0.064688933,452599.9188,0.000902863
Calabash,World,2010,0.046935237,5.648138679,22.5663028,8.236736321,55770060.95,0.301499234
Calabash,World,2011,0.047730749,5.648138679,22.79779694,8.321060645,56983311.38,0.303885771
Calabash,World,2012,0.048526262,5.807241177,23.55432932,8.597103479,59484486.07,0.312636409
Calabash,World,2013,0.049321774,5.886792426,23.7380927,8.664722041,60628502.65,0.315022946
Canary seed,World,2010,0.00239726,0.719178084,0.25410959,0.092294521,627434.5759,0.021575343
Canary seed,World,2011,0.00239726,0.839041098,0.26010274,0.094691781,650337.5463,0.021575343
Canary seed,World,2012,0.00239726,0.719178084,0.246917809,0.089897261,622899.8944,0.020376712
Canary seed,World,2013,0.00239726,0.719178084,0.250513699,0.091095891,638352.9206,0.021575343
Candlenut,World,2010,0.001387435,0.015415939,0.005241419,0.001849913,12902.00001,0.001079116
Candlenut,World,2011,0.001387435,0.015415939,0.005858057,0.002158231,14798.36955,0.001233275
Candlenut,World,2012,0.001387435,0.015415939,0.005858057,0.002158231,14673.19813,0.001233275
Candlenut,World,2013,0.001387435,0.015415939,0.006012216,0.002158231,15272.98993,0.001233275
Canola,World,2010,0.098684345,11.87557367,47.44709836,17.31826617,117260128.5,0.633921468
Canola,World,2011,0.100356961,11.87557367,47.93382961,17.49556346,119811065.3,0.638939316
Canola,World,2012,0.102029577,12.21009687,49.52448744,18.07596122,125069945.5,0.657338092
Canola,World,2013,0.103702193,12.37735847,49.91086174,18.21813358,127475313.7,0.66235594
Capers,World,2010,0.004111847,0.494815543,1.976962325,0.721594385,4885838.426,0.026413393
Capers,World,2011,0.00418154,0.494815543,1.997242793,0.728981772,4992127.454,0.02662247
Capers,World,2012,0.004251232,0.508754009,2.063520199,0.75316501,5211247.448,0.027389086
Capers,World,2013,0.004320924,0.515723242,2.079619127,0.759088858,5311471.117,0.027598163
Carambola,World,2010,0.000805256,0.068324788,0.160953679,0.058759318,397784.7917,0.000829658
Carambola,World,2011,0.000829658,0.070764959,0.166126842,0.060638249,415228.3943,0.00085406
Carambola,World,2012,0.00085406,0.07320513,0.171690432,0.062663591,433590.1371,0.000878462
Carambola,World,2013,0.000878462,0.075645301,0.177205218,0.064688933,452599.9188,0.000902863
Carapa,World,2010,0.001387435,0.015415939,0.005241419,0.001849913,12902.00001,0.001079116
Carapa,World,2011,0.001387435,0.015415939,0.005858057,0.002158231,14798.36955,0.001233275
Carapa,World,2012,0.001387435,0.015415939,0.005858057,0.002158231,14673.19813,0.001233275
Carapa,World,2013,0.001387435,0.015415939,0.006012216,0.002158231,15272.98993,0.001233275
Cardamoms,World,2010,0.017827298,0.668523678,0.200557103,0.073537605,494849.4716,0.021169916
Cardamoms,World,2011,0.021169916,0.779944291,0.232869081,0.084679666,581394.4299,0.025626741
Cardamoms,World,2012,0.021169916,0.779944291,0.227298051,0.082451254,573316.7698,0.024512535
Cardamoms,World,2013,0.02005571,0.779944291,0.222841226,0.081337047,570489.3603,0.024512535
Carneros Yucca,World,2010,NA,NA,NA,NA,NA,NA
Carneros Yucca,World,2011,NA,NA,NA,NA,NA,NA
Carneros Yucca,World,2012,NA,NA,NA,NA,NA,NA
Carneros Yucca,World,2013,NA,NA,NA,NA,NA,NA
Caroa,World,2010,NA,NA,NA,NA,NA,NA
Caroa,World,2011,NA,NA,NA,NA,NA,NA
Caroa,World,2012,NA,NA,NA,NA,NA,NA
Caroa,World,2013,NA,NA,NA,NA,NA,NA
Carobs,World,2010,0.00872514,1.049974483,4.195017769,1.53118814,10367511.18,0.056047934
Carobs,World,2011,0.008873024,1.049974483,4.238051934,1.546863816,10593051.32,0.056491585
Carobs,World,2012,0.009020908,1.079551229,4.378689362,1.59817947,11058013.28,0.058118306
Carobs,World,2013,0.009168791,1.094339602,4.412850503,1.610749587,11270683.02,0.058561957
Carrots,World,2010,0.051749108,6.227434992,24.88079555,9.081529846,61490067.58,0.332422234
Carrots,World,2011,0.052626211,6.227434992,25.13603268,9.174502819,62827753.96,0.335053545
Carrots,World,2012,0.053503315,6.402855696,25.97015812,9.478857741,65585459.4,0.344701683
Carrots,World,2013,0.054380418,6.490566048,26.17276904,9.55341154,66846811.03,0.347332994
Cashews,World,2010,0.141228071,1.84210527,0.739298248,0.27017544,1827324.43,0.049122807
Cashews,World,2011,0.152280702,1.964912288,0.778596494,0.283684212,1945505.613,0.051578948
Cashews,World,2012,0.151052632,1.964912288,0.784736845,0.286140352,1983171.584,0.051578948
Cashews,World,2013,0.152280702,1.964912288,0.788421056,0.287368422,2015072.751,0.052807018
Cassava,World,2010,0.06,36,37.97,13.86,93845031.3,0.24
Cassava,World,2011,0.07,38,39.66,14.48,99131182.95,0.25
Cassava,World,2012,0.07,38,40.47,14.77,102198710.5,0.25
Cassava,World,2013,0.07,37,39.4,14.38,100637340.7,0.25
Castor bean,World,2010,0.012408377,0.137870855,0.046876091,0.016544503,115387.7018,0.00965096
Castor bean,World,2011,0.012408377,0.137870855,0.052390925,0.01930192,132347.6865,0.011029668
Castor bean,World,2012,0.012408377,0.137870855,0.052390925,0.01930192,131228.2289,0.011029668
Castor bean,World,2013,0.012408377,0.137870855,0.053769633,0.01930192,136592.4048,0.011029668
Ceara,World,2010,NA,NA,NA,NA,NA,NA
Ceara,World,2011,NA,NA,NA,NA,NA,NA
Ceara,World,2012,NA,NA,NA,NA,NA,NA
Ceara,World,2013,NA,NA,NA,NA,NA,NA
Celery,World,2010,0.004111847,0.494815543,1.976962325,0.721594385,4885838.426,0.026413393
Celery,World,2011,0.00418154,0.494815543,1.997242793,0.728981772,4992127.454,0.02662247
Celery,World,2012,0.004251232,0.508754009,2.063520199,0.75316501,5211247.448,0.027389086
Celery,World,2013,0.004320924,0.515723242,2.079619127,0.759088858,5311471.117,0.027598163
Cherimoya,World,2010,0.000805256,0.068324788,0.160953679,0.058759318,397784.7917,0.000829658
Cherimoya,World,2011,0.000829658,0.070764959,0.166126842,0.060638249,415228.3943,0.00085406
Cherimoya,World,2012,0.00085406,0.07320513,0.171690432,0.062663591,433590.1371,0.000878462
Cherimoya,World,2013,0.000878462,0.075645301,0.177205218,0.064688933,452599.9188,0.000902863
Cherries,World,2010,0.022037431,1.869842632,4.404815,1.608064664,10886165.67,0.022705232
Cherries,World,2011,0.022705232,1.936622726,4.5463888,1.659485336,11363544.28,0.023373033
Cherries,World,2012,0.023373033,2.00340282,4.698647414,1.714912814,11866049.6,0.024040834
Cherries,World,2013,0.024040834,2.070182914,4.849570426,1.770340292,12386289.78,0.024708635
Chervil,World,2010,0.004111847,0.494815543,1.976962325,0.721594385,4885838.426,0.026413393
Chervil,World,2011,0.00418154,0.494815543,1.997242793,0.728981772,4992127.454,0.02662247
Chervil,World,2012,0.004251232,0.508754009,2.063520199,0.75316501,5211247.448,0.027389086
Chervil,World,2013,0.004320924,0.515723242,2.079619127,0.759088858,5311471.117,0.027598163
Chestnuts,World,2010,0.119035088,1.55263158,0.623122807,0.227719298,1540173.443,0.041403509
Chestnuts,World,2011,0.128350877,1.656140352,0.656245614,0.239105263,1639783.298,0.043473684
Chestnuts,World,2012,0.12731579,1.656140352,0.661421053,0.241175439,1671530.33,0.043473684
Chestnuts,World,2013,0.128350877,1.656140352,0.664526316,0.242210526,1698418.456,0.044508772
Chickpeas,World,2010,0.036444122,4.319303328,1.256647312,0.458925979,3107063.506,0.267256893
Chickpeas,World,2011,0.039143686,4.589259786,1.31468795,0.480522495,3286862.354,0.279404934
Chickpeas,World,2012,0.039143686,4.589259786,1.340333814,0.489970971,3385905.245,0.284804063
Chickpeas,World,2013,0.041843251,4.994194473,1.438867921,0.525065311,3673698.772,0.303701015
Chicle,World,2010,NA,NA,NA,NA,NA,NA
Chicle,World,2011,NA,NA,NA,NA,NA,NA
Chicle,World,2012,NA,NA,NA,NA,NA,NA
Chicle,World,2013,NA,NA,NA,NA,NA,NA
Chicory,World,2010,0.056262111,6.77052521,27.0506322,9.873523665,66852573.05,0.361412543
Chicory,World,2011,0.057215706,6.77052521,27.32812838,9.974604746,68306918.11,0.364273328
Chicory,World,2012,0.058169301,6.96124423,28.23499732,10.30550225,71305121.11,0.374762874
Chicory,World,2013,0.059122896,7.05660374,28.45527778,10.38655783,72676474.32,0.37762366
Chillies and peppers,World,2010,0.15,3,1.18,0.43,2909211,0.14
Chillies and peppers,World,2011,0.16,4,1.23,0.45,3066899,0.15
Chillies and peppers,World,2012,0.15,4,1.21,0.44,3058522,0.15
Chillies and peppers,World,2013,0.16,4,1.23,0.45,3148947,0.15
Chinotto,World,2010,0.01,1,4.73,1.73,11688233.4,0.02
Chinotto,World,2011,0.01,1,4.07,1.49,10179701.14,0.02
Chinotto,World,2012,0.01,1,4.55,1.66,11492676.75,0.02
Chinotto,World,2013,0.01,1,4.45,1.62,11366157.19,0.02
Chontadura,World,2010,0.001387435,0.015415939,0.005241419,0.001849913,12902.00001,0.001079116
Chontadura,World,2011,0.001387435,0.015415939,0.005858057,0.002158231,14798.36955,0.001233275
Chontadura,World,2012,0.001387435,0.015415939,0.005858057,0.002158231,14673.19813,0.001233275
Chontadura,World,2013,0.001387435,0.015415939,0.006012216,0.002158231,15272.98993,0.001233275
Chufa,World,2010,0.000533632,0.320179374,0.273219732,0.099789238,675754.8505,0.004269058
Chufa,World,2011,0.000533632,0.320179374,0.281757849,0.102991032,703908.5734,0.004269058
Chufa,World,2012,0.000533632,0.320179374,0.292430495,0.106726458,738572.795,0.004269058
Chufa,World,2013,0.000533632,0.320179374,0.294031392,0.10726009,750709.8991,0.004269058
Cinnamon,World,2010,0.012479109,0.467966574,0.140389972,0.051476323,346394.6297,0.014818942
Cinnamon,World,2011,0.014818942,0.545961003,0.163008357,0.059275766,406976.1004,0.017938719
Cinnamon,World,2012,0.014818942,0.545961003,0.159108635,0.057715877,401321.7383,0.017158774
Cinnamon,World,2013,0.014038997,0.545961003,0.155988858,0.056935933,399342.5517,0.017158774
Citron,World,2010,0.01,1,4.73,1.73,11688233.4,0.02
Citron,World,2011,0.01,1,4.07,1.49,10179701.14,0.02
Citron,World,2012,0.01,1,4.55,1.66,11492676.75,0.02
Citron,World,2013,0.01,1,4.45,1.62,11366157.19,0.02
Citronella,World,2010,NA,NA,NA,NA,NA,NA
Citronella,World,2011,NA,NA,NA,NA,NA,NA
Citronella,World,2012,NA,NA,NA,NA,NA,NA
Citronella,World,2013,NA,NA,NA,NA,NA,NA
Cloves,World,2010,NA,NA,0.01,0.01,35406,NA
Cloves,World,2011,NA,NA,0.02,0.01,40110,NA
Cloves,World,2012,NA,NA,0.02,0.01,44491,NA
Cloves,World,2013,NA,NA,0.02,0.01,52779,NA
Cocoa,World,2010,0.39,5,1.67,0.61,4122802.7,0.12
Cocoa,World,2011,0.43,5,1.82,0.66,4547290.83,0.13
Cocoa,World,2012,0.42,5,1.8,0.66,4544929.43,0.13
Cocoa,World,2013,0.43,5,1.87,0.68,4766205.23,0.14
Coconuts,World,2010,2.05,21,9.46,3.46,23385190.65,0.12
Coconuts,World,2011,1.79,18,9,3.29,22504848,0.12
Coconuts,World,2012,1.88,19,9.3,3.39,23480118.4,0.12
Coconuts,World,2013,1.85,19,9.5,3.47,24261813.44,0.12
Coffee,World,2010,NA,1,3.12,1.14,7703913.35,0.17
Coffee,World,2011,NA,1,3.14,1.15,7858193.48,0.17
Coffee,World,2012,NA,1,3.21,1.17,8115439.86,0.18
Coffee,World,2013,NA,1,3.17,1.16,8098536.42,0.17
Common bean,World,2010,0.11,24,7.22,2.64,17848377.17,1.56
Common bean,World,2011,0.1,24,7.05,2.57,17626823.54,1.52
Common bean,World,2012,0.1,23,6.78,2.47,17122804.78,1.46
Common bean,World,2013,0.1,23,6.82,2.49,17416335.39,1.47
Coriander,World,2010,0.033426184,1.253481894,0.376044568,0.137883008,927842.7575,0.039693593
Coriander,World,2011,0.039693593,1.462395543,0.436629526,0.158774373,1090114.554,0.048050139
Coriander,World,2012,0.039693593,1.462395543,0.426183844,0.1545961,1074968.941,0.045961003
Coriander,World,2013,0.037604457,1.462395543,0.417827298,0.152506964,1069667.549,0.045961003
Cotton,World,2010,1.42,13,1.44,0.53,3565323.71,NA
Cotton,World,2011,1.5,13,1.52,0.55,3796549.08,NA
Cotton,World,2012,1.59,14,1.62,0.59,4079675.79,NA
Cotton,World,2013,1.51,13,1.54,0.56,3940082.39,NA
Cowpeas,World,2010,0.028998549,3.436865024,0.999912918,0.365166909,2472287.099,0.212656023
Cowpeas,World,2011,0.031146589,3.651669088,1.046095792,0.382351234,2615352.848,0.222322206
Cowpeas,World,2012,0.031146589,3.651669088,1.066502178,0.389869376,2694161.171,0.226618288
Cowpeas,World,2013,0.03329463,3.973875184,1.144905661,0.417793904,2923158.172,0.241654572
Cranberries,World,2010,0.004772437,0.404934068,0.953908969,0.348243298,2357513.556,0.004917057
Cranberries,World,2011,0.004917057,0.419395999,0.984568262,0.359378985,2460894.908,0.005061676
Cranberries,World,2012,0.005061676,0.43385793,1.017541465,0.371382388,2569717.714,0.005206295
Cranberries,World,2013,0.005206295,0.448319861,1.050225429,0.383385791,2682381.192,0.005350914
Cress,World,2010,0.004111847,0.494815543,1.976962325,0.721594385,4885838.426,0.026413393
