faostat,name,id
"Juice, pineapple, concentrated",Pineapple,156
Pineapples canned,Pineapple,156
Pistachios,Pistachio,157
Plantains,Plantains,158
Plantains and others,Plantains,158
Plums and sloes,Plums,162
"Juice, plum, concentrated",Plums,162
"Juice, plum, single strength",Plums,162
Plums dried (prunes),Plums,162
Poppy seed,Poppy,164
"Oil, poppy",Poppy,164
Potatoes and products,Potato,165
Potatoes,Potato,165
"Flour, potatoes",Potato,165
Potato offals,Potato,165
"Potatoes, frozen",Potato,165
"Pulses, Other and products","Pulses, Other",170
"Pulses, nes","Pulses, Other",170
"Pumpkins, squash and gourds","Pumpkins, squash, gourds",171
"Pyrethrum, dried",Pyrethrum,172
"Pyrethrum, extraction",Pyrethrum,172
Quinces,Quinces,173
Quinoa,Quinoa,174
Ramie,Ramie,176
Rape and Mustard Cake,Rapeseed and Mustard,177
Rape and Mustard Oil,Rapeseed and Mustard,177
Rape and Mustardseed,Rapeseed and Mustard,177
Mustard seed,Rapeseed and Mustard,177
Rapeseed,Rapeseed and Mustard,177
"Cake, mustard",Rapeseed and Mustard,177
"Flour, mustard",Rapeseed and Mustard,177
"Cake, rapeseed",Rapeseed and Mustard,177
"Oil, rapeseed",Rapeseed and Mustard,177
Rape+Mustard Oils,Rapeseed and Mustard,177
Rape+Mustard Seed,Rapeseed and Mustard,177
Raspberries,Raspberry,178
Rice (Milled Equivalent),Rice,179
Rice (Paddy Equivalent),Rice,179
Ricebran Oil,Rice,179
Cereals (Rice Milled Eqv),Rice,179
"Rice, paddy",Rice,179
"Beverages, fermented rice",Rice,179
"Cake, rice bran",Rice,179
"Oil, rice bran",Rice,179
Rice,Rice,179
Rice - total  (Rice milled equivalent),Rice,179
"Roots, Other","Roots, Other",183
Rubber,"Rubber, natural",184
"Rubber, natural","Rubber, natural",184
Natural Rubber,"Rubber, natural",184
Rubber natural dry,"Rubber, natural",184
Rye and products,Rye,187
Rye,Rye,187
Safflower seed,Safflower,188
"Cake, safflower",Safflower,188
"Oil, safflower",Safflower,188
Sesame seed,Sesame,191
Sesameseed Cake,Sesame,191
Sesameseed Oil,Sesame,191
"Cake, sesame seed",Sesame,191
"Oil, sesame",Sesame,191
Sisal,Sisal,192
Sorghum and products,Sorghum,193
Sorghum,Sorghum,193
Beer of sorghum,Sorghum,193
"Bran, sorghum",Sorghum,193
Soyabean Cake,Soybean,195
Soyabean Oil,Soybean,195
Soyabeans,Soybean,195
Soybeans,Soybean,195
"Cake, soybeans",Soybean,195
"Oil, soybean",Soybean,195
Soya curd,Soybean,195
Soya paste,Soybean,195
Soya sauce,Soybean,195
"Spices, Other","Spices, Other",196
Spinach,Spinach,197
Stimulants,Stimulants,198
Strawberries,Strawberry,199
Sugar beet,Sugar beet,200
Sugar cane,Sugarcane,202
Cane tops,Sugarcane,202
Sunflower seed,Sunflower,205
Sunflowerseed Cake,Sunflower,205
Sunflowerseed Oil,Sunflower,205
"Cake, sunflower",Sunflower,205
"Oil, sunflower",Sunflower,205
Sweet potatoes,Sweetpotato,208
Tallowtree seed,Tallow,209
Tallow,Tallow,209
Taro (cocoyam),Taro,210
Tea,Tea,211
Tea (including mate),Tea and mate,212
Tobacco,Tobacco,213
"Tobacco, unmanufactured",Tobacco,213
Tobacco products nes,Tobacco,213
"Juice, tomato",Tomato,214
Tomatoes and products,Tomato,214
Tomatoes,Tomato,214
"Tomatoes, paste",Tomato,214
"Tomatoes, peeled",Tomato,214
Treenuts,Treenuts,215
Triticale,Triticale,217
Tung nuts,Tung,218
Turnips for fodder,Turnip,219
Vanilla,Vanilla,221
"Vegetables, Other","Vegetables, Other",222
Vetches,Vetch,223
"Walnuts, with shell",Walnut,225
"Walnuts, shelled",Walnut,225
Watermelons,Watermelon,226
Wheat and products,Wheat,228
Wheat,Wheat,228
"Bran, wheat",Wheat,228
Bulgur,Wheat,228
"Flour, wheat",Wheat,228
Macaroni,Wheat,228
"Wheat+Flour,Wheat Equivalent",Wheat,228
Yams,Yams,230
Yautia (cocoyam),"Yautia, cocoyam",231
