crop,taxa
Lemons and limes,Citrus aurantiifolia
Lemons and limes,Citrus limon
Citron,Citrus medica
Chinotto,Citrus myrtifolia
Grapefruits,Citrus paradisi
Mandarines,Citrus reticulata
Oranges,Citrus sinensis
Lemons and limes,Citrus xlimon
Grapefruits,Citrus xparadisi
Oranges,Citrus xsinensis
Spider plant,Cleome gynandra
Coconuts,Cocos nucifera
Coffee,Coffea arabica
Coffee,Coffea canephora
Adlay,Coix lacryma-jobi
Kola nuts,Cola acuminata
Kola nuts,Cola anomala
Kola nuts,Cola nitida
Kola nuts,Cola verticillata
Taro,Colocasia esculenta
Jute,Corchorus capsularis
Jute,Corchorus olitorius
Coriander,Coriandrum sativum
Coronilla,Coronilla varia
Hazelnuts,Corylus avellana
Hazelnuts,Corylus colurna
Crambe,Crambe abyssinica
Crambe,Crambe hispanica
Azarole,Crataegus azarolus
Saffron,Crocus sativus
Sunn hemp,Crotalaria juncea
Purging croton,Croton tiglium
West Indian Gherkin,Cucumis anguria
Melons,Cucumis melo
Cucumbers and gherkins,Cucumis sativus
Cushaw,Cucurbita argyrosperma
Fig leaf gourd,Cucurbita ficifolia
Pumpkin,Cucurbita maxima
Butternut squash,Cucurbita moschata
Zucchini,Cucurbita pepo
Cumin,Cuminum cyminum
Turmeric,Curcuma longa
Quinces,Cydonia oblonga
Citronella,Cymbopogon citratus
Citronella,Cymbopogon nardus
Citronella,Cymbopogon winterianus
Artichokes,Cynara cardunculus
Chufa,Cyperus esculentus
Dactylis,Dactylis glomerata
Carrots,Daucus carota
Desmodium,Desmodium intortum
Desmodium,Desmodium uncinatum
Fonio,Digitaria exilis
Fonio,Digitaria iburua
Longan,Dimocarpus longan
Yams,Dioscorea alata
Yams,Dioscorea cayennensis
Yams,Dioscorea rotundata
Persimmons,Diospyros kaki
Durian,Durio zibethinus
Jelutong,Dyera costulata
Japanese millet,Echinochloa esculenta
Japanese millet,Echinochloa frumentacea
Oil palm,Elaeis guineensis
Oil palm,Elaeis oleifera
Cardamoms,Elettaria cardamomum
Finger millet,Eleusine coracana
Teff,Eragrostis tef
Loquat,Eriobotrya japonica
Buckwheat,Fagopyrum esculentum
Buckwheat,Fagopyrum tataricum
Beech nut,Fagus sylvatica
Festuca,Festuca arundinacea
Festuca,Festuca gigantea
Festuca,Festuca heterophylla
Festuca,Festuca ovina
Festuca,Festuca pratensis
Festuca,Festuca rubra
Figs,Ficus carica
Fennel,Foeniculum vulgare
Kumquat,Fortunella japonica
Strawberries,Fragaria ananassa
Strawberries,Fragaria xananassa
Giant cabuya,Furcraea foetida
Fique,Furcraea macrophylla
Galactia,Galactia striata
Mangosteen,Garcinia mangostana
Huckleberry,Gaylussacia baccata
Soybeans,Glycine max
Licorice,Glycyrrhiza glabra
Cotton,Gossypium herbaceum
Cotton,Gossypium hirsutum
Noog,Guizotia abyssinica
Spider plant,Gynandropsis gynandra
Hedysarum,Hedysarum coronarium
Sunflowers,Helianthus annuus
Jerusalem artichoke,Helianthus tuberosus
"Rubber, natural",Hevea brasiliensis
Kenaf,Hibiscus cannabinus
Roselle,Hibiscus sabdariffa
Barley,Hordeum vulgare
Hops,Humulus lupulus
Mate,Ilex paraguariensis
Badian,Illicium verum
Indigofera,Indigofera hirsuta
Indigofera,Indigofera spicata
Indigofera,Indigofera suffruticosa
Sweetpotatoes,Ipomoea batatas
Physic nut,Jatropha curcas
Walnuts,Juglans nigra
Walnuts,Juglans regia
Lespedeza,Kummerowia stipulacea
Lespedeza,Kummerowia striata
Lablab,Lablab purpureus
Lettuce,Lactuca sativa
Calabash,Lagenaria siceraria
Grasspea,Lathyrus sativus
Bay leaf,Laurus nobilis
Lavender,Lavandula angustifolia
Lentils,Lens culinaris
Maca,Lepidium meyenii
Cress,Lepidium sativum
Lespedeza,Lespedeza cuneata
Lespedeza,Lespedeza stipulacea
Lespedeza,Lespedeza striata
Leucaena,Leucaena leucocephala
Oiticica,Licania rigida
Flax,Linum usitatissimum
Litchi,Litchi chinensis
Lolium,Lolium hybridum
Lolium,Lolium multiflorum
Lolium,Lolium perenne
Lolium,Lolium rigidum
Lolium,Lolium temulentum
Lolium,Lolium xhybridum
Lotus,Lotus corniculatus
Lotus,Lotus subbiflorus
Lotus,Lotus uliginosus
Lupins,Lupinus albus
Lupins,Lupinus angustifolius
Lupins,Lupinus luteus
Lupins,Lupinus mutabilis
Albardine,Lygeum spartum
Macadamia nut,Macadamia integrifolia
Macadamia nut,Macadamia tetraphylla
Macroptilium,Macroptilium atropurpureum
Mahuwa,Madhuca longifolia
Acerola,Malpighia emarginata
Apple,Malus domestica
Mammee,Mammea americana
Mango,Mangifera indica
Ceara,Manihot carthagenensis
Cassava,Manihot esculenta
Ceara,Manihot glaziovii
Chicle,Manilkara chicle
Chicle,Manilkara zapota
Sapodilla,Manilkara zapota
Arrowroot,Maranta arundinacea
Alfalfa,Medicago arborea
Alfalfa,Medicago falcata
Alfalfa,Medicago rigidula
Alfalfa,Medicago sativa
Alfalfa,Medicago scutellata
Alfalfa,Medicago truncatula
Melilotus,Melilotus albus
Melilotus,Melilotus officinalis
Peppermint,Mentha piperita
Peppermint,Mentha xpiperita
Medlar,Mespilus germanica
Sago palm,Metroxylon sagu
Pongamia oil,Millettia pinnata
Mauka,Mirabilis expansa
Mulberry,Morus alba
Mulberry,Morus nigra
Mulberry,Morus rubra
Velvet bean,Mucuna pruriens
Bananas,Musa acuminata
Plantains,Musa balbisiana
Abaca,Musa textilis
Nutmeg,Myristica fragrans
Myrtle,Myrtus communis
Watercress,Nasturtium officinale
Caroa,Neoglaziovia variegata
Neonotonia,Neonotonia wightii
Rambutan,Nephelium lappaceum
Pueraria,Neustanthus phaseoloides
Tobacco,Nicotiana tabacum
Basil,Ocimum basilicum
Water dropwort,Oenanthe javanica
Olives,Olea europaea
Onobrychis,Onobrychis viciifolia
Prickly pear,Opuntia ficus-indica
Marjoram,Origanum majorana
Oregano,Origanum vulgare
Ornithopus,Ornithopus sativus
Rice (African),Oryza glaberrima
Rice (Asian),Oryza sativa
Oca,Oxalis tuberosa
Ahipa,Pachyrhizus ahipa
Jicama,Pachyrhizus erosus
Gutta-percha,Palaquium gutta
Proso millet,Panicum miliaceum
Little millet,Panicum sumatrense
Poppies,Papaver somniferum
Guayule,Parthenium argentatum
Kodo millet,Paspalum scrobiculatum
Passionfruit,Passiflora edulis
Passionfruit,Passiflora ligularis
Parsnip,Pastinaca sativa
Pearl millet,Pennisetum glaucum
Pearl millet,Pennisetum glaucum
Perilla,Perilla frutescens
Avocado,Persea americana
Parsley,Petroselinum crispum
Phalaris,Phalaris aquatica
Phalaris,Phalaris arundinacea
Canary seed,Phalaris canariensis
Tepary bean,Phaseolus acutifolius
Runner bean,Phaseolus coccineus
Year bean,Phaseolus dumosus
Lima bean,Phaseolus lunatus
Common bean,Phaseolus vulgaris
Phleum,Phleum pratense
Dates,Phoenix dactylifera
New Zealand flax,Phormium tenax
Bamboo shoot,Phyllostachys edulis
Tomatillo,Physalis ixocarpa
Tomatillo,Physalis peruviana
Tomatillo,Physalis philadelphica
Tomatillo,Physalis pubescens
Allspice,Pimenta dioica
Anise,Pimpinella anisum
Pine nut,Pinus pinea
Pepper,Piper nigrum
Pistachios,Pistacia vera
Peas,Pisum sativum
Poa,Poa alpina
Poa,Poa annua
Poa,Poa pratensis
Pongamia oil,Pongamia glabra
Mamey sapote,Pouteria sapota
Prosopis,Prosopis affinis
Prosopis,Prosopis alba
Prosopis,Prosopis chilensis
Prosopis,Prosopis nigra
Prosopis,Prosopis pallida
Apricot,Prunus armeniaca
Cherries,Prunus avium
Plums,Prunus cerasifera
Cherries,Prunus cerasus
Plums,Prunus domestica
Almonds,Prunus dulcis
Peaches and nectarines,Prunus persica
Plums,Prunus salicina
Guavas,Psidium guajava
Winged bean,Psophocarpus tetragonolobus
Pueraria,Pueraria phaseoloides
Pomegranate,Punica granatum
Pears,Pyrus communis
Pears,Pyrus pyrifolia
Pears,Pyrus ussuriensis
Radish,Raphanus sativus
Rhubarb,Rheum rhabarbarum
Rhynchosia,Rhynchosia minima
Rhynchosia,Rhynchosia reticulata
Currants,Ribes nigrum
Currants,Ribes rubrum
Gooseberries,Ribes uva-crispa
Castor bean,Ricinus communis
Rosemary,Rosmarinus officinalis
Raspberries,Rubus idaeus
Raspberries,Rubus occidentalis
Raspberries,Rubus plicatus
Sorrel,Rumex acetosa
Sugarcane,Saccharum officinarum
Salsola,Salsola vermiculata
Elderberry,Sambucus nigra
Carneros Yucca,Samuela carnerosana
Snake plant,Sansevieria trifasciata
Tallowtree,Sapium sebiferum
Tallowtree,Sapium sebiferum
Savory,Satureja hortensis
Savory,Satureja montana
Black salsify,Scorzonera hispanica
Rye,Secale cereale
Chayote,Sechium edule
Coronilla,Securigera varia
Sesame,Sesamum indicum
Sesbania,Sesbania sesban
Foxtail millet,Setaria italica
Tallowtree,Shorea aptera
Shala tree,Shorea robusta
Tallowtree,Shorea stenocarpa
Tallowtree,Shorea palembanica
Jojoba,Simmondsia chinensis
Yacon,Smallanthus sonchifolius
African eggplant,Solanum aethiopicum
Potatoes,Solanum ajanhuiri
Black nightshade,Solanum americanum
Tree tomato,Solanum betaceum
Potatoes,Solanum curtilobum
Potatoes,Solanum juzepczukii
Tomatoes,Solanum lycopersicum
Eggplant,Solanum melongena
Pepino,Solanum muricatum
Naranjilla,Solanum quitoense
Potatoes,Solanum tuberosum
Service tree,Sorbus domestica
Sorghum,Sorghum bicolor
Spinach,Spinacia oleracea
Mombin,Spondias mombin
Mombin,Spondias purpurea
Tallowtree,Stillingia sebifera
Tallowtree,Stillingia sebifera
Esparto,Stipa tenacissima
Stylosanthes,Stylosanthes hamata
Stylosanthes,Stylosanthes humilis
Stylosanthes,Stylosanthes scabra
Cloves,Syzygium aromaticum
Ceylon-spinach,Talinum fruticosum
Tamarind,Tamarindus indica
Pyrethrum,Tanacetum cinerariifolium
New Zealand spinach,Tetragonia tetragonoides
Cocoa,Theobroma cacao
Thyme,Thymus vulgaris
Salsify,Tragopogon porrifolius
Tallowtree,Triadica sebifera
Snake gourd,Trichosanthes cucumerina
Clovers,Trifolium agrocicerum
Clovers,Trifolium alexandrinum
Clovers,Trifolium alpestre
Clovers,Trifolium ambiguum
Clovers,Trifolium angustifolium
Clovers,Trifolium arvense
Clovers,Trifolium hybridum
Clovers,Trifolium incarnatum
Clovers,Trifolium pratense
Clovers,Trifolium pratense
Clovers,Trifolium repens
Clovers,Trifolium repens
Clovers,Trifolium resupinatum
Clovers,Trifolium rueppellianum
Clovers,Trifolium semipilosum
Clovers,Trifolium subterraneum
Clovers,Trifolium vesiculosum
Fenugreek,Trigonella foenum-graecum
Tripsacum,Tripsacum laxum
Triticale,Triticosecale blaringhemii
Triticale,Triticosecale neoblaringhemii
Triticale,Triticosecale schlanstedtense
Triticale,Triticosecale semisecale
Wheat,Triticum ×petropavlovskyi
Wheat,Triticum aestivum
Wheat,Triticum durum
Wheat,Triticum flaksbergeri
Wheat,Triticum ispahanicum
Wheat,Triticum kiharae
Wheat,Triticum monococcum
Wheat,Triticum timopheevii
Wheat,Triticum turgidum
Wheat,Triticum vavilovii
Wheat,Triticum zhukovsky
Mashua,Tropaeolum tuberosum
Ulluco,Ullucus tuberosus
Caesarweed,Urena lobata
Caesarweed,Urena sinuata
Brachiaria,Urochloa brizantha
Brachiaria,Urochloa humidicola
Brachiaria,Urochloa ruziziensis
Blueberry,Vaccinium angustifolium
Blueberry,Vaccinium corymbosum
Cranberries,Vaccinium macrocarpon
Blueberry,Vaccinium virgatum
Vanilla,Vanilla planifolia
Vanilla,Vanilla pompona
Vanilla,Vanilla tahitensis
Vanilla,Vanilla xtahitensis
Babaco,Vasconcellea xheilbornii
Tung nuts,Vernicia fordii
Vetch,Vicia articulata
Faba beans,Vicia faba
Vetch,Vicia narbonensis
Vetch,Vicia pannonica
Vetch,Vicia sativa
Mat bean,Vigna aconitifolia
Adzuki bean,Vigna angularis
Black gram,Vigna mungo
Mung bean,Vigna radiata
Bambara bean,Vigna subterranea
Rice bean,Vigna umbellata
Cowpeas,Vigna unguiculata
Karite nuts,Vitellaria paradoxa
Grapes,Vitis vinifera
"Yautia, cocoyam",Xanthosoma sagittifolium
Triticale,xTriticosecale blaringhemii
Triticale,xTriticosecale neoblaringhemii
Triticale,xTriticosecale schlanstedtense
Triticale,xTriticosecale semisecale
Carneros Yucca,Yucca carnerosana
Maize,Zea mays
Ginger,Zingiber officinale
Wildrice,Zizania palustris
Jujube,Ziziphus jujuba
Zornia,Zornia latifolia
Yams,Dioscorea cayenensis
Wax gourd,Benincasa pruriens
Caesarweed,Urena procumbens
Babaco,Vasconcellea heilbornii
Brachiaria,Brachiaria dictyoneura
