domain,domain_name,component,group,metric,units,useable,global_level,country_level
1,importance,research_significance,google_scholar,taxon,records,1,1,0
2,interdependence,faostat,food_supply,fat_supply_quantity_global,percentage,1,1,0
2,interdependence,faostat,food_supply,fat_supply_quantity_global_outside_origin,percentage,0,1,0
2,interdependence,faostat,food_supply,fat_supply_quantity_origin,g/capita/day,0,1,0
2,interdependence,faostat,food_supply,fat_supply_quantity_outside,g/capita/day,0,1,0
2,interdependence,faostat,food_supply,fat_supply_quantity_world,g/capita/day,0,1,0
2,interdependence,faostat,food_supply,food_supply_kcal_global,percentage,1,1,0
2,interdependence,faostat,food_supply,food_supply_kcal_global_outside_origin,percentage,0,1,0
2,interdependence,faostat,food_supply,food_supply_kcal_origin,kcal/capita/day,0,1,0
2,interdependence,faostat,food_supply,food_supply_kcal_outside,kcal/capita/day,0,1,0
2,interdependence,faostat,food_supply,food_supply_kcal_world,kcal/capita/day,0,1,0
2,interdependence,faostat,food_supply,food_supply_quantity_g_global,percentage,1,1,0
2,interdependence,faostat,food_supply,food_supply_quantity_g_global_outside_origin,percentage,0,1,0
2,interdependence,faostat,food_supply,food_supply_quantity_g_origin,g/capita/day,0,1,0
2,interdependence,faostat,food_supply,food_supply_quantity_g_outside,g/capita/day,0,1,0
2,interdependence,faostat,food_supply,food_supply_quantity_g_world,g/capita/day,0,1,0
2,interdependence,faostat,food_supply,protein_supply_quantity_global,percentage,1,1,0
2,interdependence,faostat,food_supply,protein_supply_quantity_global_outside_origin,percentage,0,1,0
2,interdependence,faostat,food_supply,protein_supply_quantity_origin,g/capita/day,0,1,0
2,interdependence,faostat,food_supply,protein_supply_quantity_outside,g/capita/day,0,1,0
2,interdependence,faostat,food_supply,protein_supply_quantity_world,g/capita/day,0,1,0
2,interdependence,faostat,production,area_harvested_global,percentage,1,1,0
2,interdependence,faostat,production,area_harvested_global_outside_origin,percentage,0,1,0
2,interdependence,faostat,production,area_harvested_origin,ha,0,1,0
2,interdependence,faostat,production,area_harvested_outside,ha,0,1,0
2,interdependence,faostat,production,area_harvested_world,ha,0,1,0
2,interdependence,faostat,production,gross_production_value_global,percentage,1,1,0
2,interdependence,faostat,production,gross_production_value_global_outside_origin,percentage,0,1,0
2,interdependence,faostat,production,gross_production_value_origin,USD,0,1,0
2,interdependence,faostat,production,gross_production_value_outside,USD,0,1,0
2,interdependence,faostat,production,gross_production_value_world,USD,0,1,0
2,interdependence,faostat,production,production_global,percentage,1,1,0
2,interdependence,faostat,production,production_global_outside_origin,percentage,0,1,0
2,interdependence,faostat,production,production_origin,tonnes,0,1,0
2,interdependence,faostat,production,production_outside,tonnes,0,1,0
2,interdependence,faostat,production,production_world,tonnes,0,1,0
2,interdependence,faostat,trade,export_quantity_global,percentage,1,1,0
2,interdependence,faostat,trade,export_quantity_global_outside_origin,percentage,0,1,0
2,interdependence,faostat,trade,export_quantity_origin,tonnes,0,1,0
2,interdependence,faostat,trade,export_quantity_outside,tonnes,0,1,0
2,interdependence,faostat,trade,export_quantity_world,tonnes,0,1,0
2,interdependence,faostat,trade,export_value_global,percentage,1,1,0
2,interdependence,faostat,trade,export_value_global_outside_origin,percentage,0,1,0
2,interdependence,faostat,trade,export_value_origin,1000 US$,0,1,0
2,interdependence,faostat,trade,export_value_outside,1000 US$,0,1,0
2,interdependence,faostat,trade,export_value_world,1000 US$,0,1,0
2,interdependence,faostat,trade,import_quantity_global,percentage,1,1,0
2,interdependence,faostat,trade,import_quantity_global_outside_origin,percentage,0,1,0
2,interdependence,faostat,trade,import_quantity_origin,tonnes,0,1,0
2,interdependence,faostat,trade,import_quantity_outside,tonnes,0,1,0
2,interdependence,faostat,trade,import_quantity_world,tonnes,0,1,0
2,interdependence,faostat,trade,import_value_global,percentage,1,1,0
2,interdependence,faostat,trade,import_value_global_outside_origin,percentage,0,1,0
2,interdependence,faostat,trade,import_value_origin,1000 US$,0,1,0
2,interdependence,faostat,trade,import_value_outside,1000 US$,0,1,0
2,interdependence,faostat,trade,import_value_world,1000 US$,0,1,0
2,interdependence,genebank_distributions_international,genebank_distributions_international_combined,genebank_distributions_international_combined,percentage,0,1,1
3,demand,crop_researchers,asti_researchers_per_crop,asti_researchers_per_crop,value,0,1,1
3,demand,crop_researchers,gipb_researchers_per_crop,gipb_researchers_per_crop,value,0,1,1
3,demand,genebank_distributions,recipient_country_genebank_distributions,crop_count_providers_distributions,percentage,1,1,1
3,demand,genebank_distributions,recipient_country_genebank_distributions,crop_count_recipients_distributions,percentage,1,1,1
3,demand,varietal_release,accessseeds_varietal_release,accessseeds_varietal_release,value,0,1,1
3,demand,varietal_release,upov_varietal_release,upov_varietal_release,value,1,1,1
3,demand,varietal_release,wiews_varietal_release,wiews_varietal_release,value,0,1,1
4,supply,genebank_collections,institution_country,genus_count_institution_supply,records,1,1,1
4,supply,genebank_collections,institution_country,species_count_institution_supply,records,1,1,1
4,supply,genebank_collections,origin_country,genus_count_origin_supply,records,1,1,1
4,supply,genebank_collections,origin_country,species_count_origin_supply,records,1,1,1
4,supply,genebank_distributions,origin_country_genebank_distributions,crop_count_origin_country_distributions,records,1,0,0
4,supply,germplasm_mls,germplasm_mls_accessions,genus_count_mls_supply_accessions,records,1,1,0
4,supply,germplasm_mls,germplasm_mls_accessions,species_count_mls_supply_accessions,records,1,1,0
4,supply,germplasm_mls,germplasm_mls_institutes,species_count_mls_supply_institutes,records,1,1,0
4,supply,germplasm_mls,germplasm_mls_institutes,species_count_mls_supply_institutes,records,1,1,0
4,supply,research_supply,gbif_research_supply,genus_count_gbif_research_supply,percent,1,1,0
4,supply,research_supply,gbif_research_supply,species_count_gbif_research_supply,percent,1,1,0
5,security,accessions_primaryregion,accessions_primaryregion,genus_accessions_primaryregion,percentage,1,1,0
5,security,accessions_primaryregion,accessions_primaryregion,species_accessions_primaryregion,percentage,1,1,0
5,security,accessions_sgsv,accessions_sgsv,genus_accessions_sgsv,percentage,1,1,0
5,security,accessions_sgsv,accessions_sgsv,species_accessions_sgsv,percentage,1,1,0
5,security,equality_of_distributions,gini_providers,crop_count_gini_providers_distributions,value,1,1,0
5,security,equality_of_distributions,gini_recipients,crop_count_gini_recipients_distributions,value,1,1,0
5,security,equality_of_importance,gini_importance_food_supply,fs_fat_supply_quantity,value,1,1,0
5,security,equality_of_importance,gini_importance_food_supply,fs_food_supply_kcal,value,1,1,0
5,security,equality_of_importance,gini_importance_food_supply,fs_food_supply_quantity_g,value,1,1,0
5,security,equality_of_importance,gini_importance_food_supply,fs_protein_supply_quantity,value,1,1,0
5,security,equality_of_importance,gini_importance_production,c_area_harvested,value,1,1,0
5,security,equality_of_importance,gini_importance_production,c_production,value,1,1,0
5,security,equality_of_importance,gini_importance_production,vap_gross_production_value_us,value,1,1,0
5,security,equality_of_importance,gini_importance_trade,clp_export_quantity,value,1,1,0
5,security,equality_of_importance,gini_importance_trade,clp_export_value,value,1,1,0
5,security,equality_of_importance,gini_importance_trade,clp_import_quantity,value,1,1,0
5,security,equality_of_importance,gini_importance_trade,clp_import_value,value,1,1,0
5,security,equality_of_supply,gini_genebanks_institution_country,genus_count_gini_institution,value,1,1,0
5,security,equality_of_supply,gini_genebanks_institution_country,species_count_gini_institution,value,1,1,0
5,security,equality_of_supply,gini_genebanks_origin_country,genus_count_gini_origin,value,1,1,0
5,security,equality_of_supply,gini_genebanks_origin_country,species_count_gini_origin,value,1,1,0
